fid,GRID_ID.x,GRID_ID.y,mean_elevation,mean_severity,mean_VPD,mean_VPD_ano,mean_VPD_yod1,mean_prec,mean_temp,mean_prec_total,mean_temp_total,mean_recovery_rate,mean_percent_recovered,mean_bare,dominant_forest_type,geolocation,mean_pre_dist_tree_cover,long,lat,pred,residuals,VPD_effect,elevation_effect,severity_effect,temp_effect,prec_effect,predist_treecov_effect,bareground_effect,predicted_recovery
1,I-18,I-18,600,82.9614254269384,5901.87961658854,0.00874846704883259,0.0724656684290071,934.14584206429,11.9549420245807,9615.70221859071,12.0739067044508,7.18589743589744,52.6829268292683,14.8958378863856,broadleaved-dominant,western alps - south,24.8430376781807,4080553.4611,2410971.19814445,52.5855792348281,0.0973475944401514,-1.6335302391948,1.0242200860649,-6.46879452344466,-5.1610412941026,-0.714215635691876,17.1563648445349,-2.09765678211541,31.4058731673904
2,B-19,B-19,666.647625160462,74.9474019452626,9786.73033028495,0.148783127736292,0.309007610793535,910.938985601714,19.0759913469424,9022.93296231232,19.308506841749,10.7376893939394,36.1360718870347,9.34570534971462,broadleaved-dominant,western alps - south,46.7839295501992,3934972.65553749,2398858.18189245,36.8091989560141,-0.673127068979483,1.25338373095607,0.316331492252617,-1.2413471401564,3.46100262347547,-0.828675091053304,-0.804102645197086,-3.50659634568543,35.4152063515381
3,B-20,B-20,600.761944677284,68.3152824683764,10740.5615313108,0.0493341980145385,0.12503618801132,792.667863904008,19.9702639088409,7800.49736666839,20.2583571626868,8.7986301369863,38.558256496228,18.9818370424687,broadleaved-dominant,western alps - south,37.0328120023975,3936329.806064,2374927.88260664,39.8653383859956,-1.30708188976756,-0.450392646040578,1.01568443342242,4.40618862834692,0.516384501352353,-1.11828266938947,6.40183977926478,-5.37963622082026,8.43731530147215
4,Z-13,Z-13,1162.42407660739,73.4011396132895,6956.66071951378,0.0636081774233998,0.303504535179632,1403.02022423333,15.6754283613525,14278.0747773344,15.8370846667426,6.50956937799043,43.6388508891929,5.48506968458113,coniferous-dominant,eastern alps - south,52.7918242432324,4434305.7344,2543125.82594444,42.1173415935598,1.52150929563312,1.34704985519714,-1.50833997693204,0.456370009439542,1.94373143084249,0.750940230576063,-2.56966334659935,-0.644433636176007,39.7047435487727
5,AH-11,AH-11,1009.68690702087,71.9947031801787,7001.57932387206,0.112514692664866,0.230696577371135,2133.37286086434,15.9136103036258,21320.3359909492,16.1560739609119,7.2375366568915,45.9203036053131,8.40916680329865,coniferous-dominant,eastern alps - south,46.4646914403895,4600777.3924,2591182.0542,50.3805874718847,-4.46028386657156,1.54202965900858,-1.46185725704465,1.96779701450706,2.67168572942272,-0.627395456440869,-0.770427738501275,-3.20432290529143,51.2104936598606
6,AM-5,AM-5,1064.87431054655,67.0852022654208,6194.42908935797,0.178872300232563,0.225142806485649,1485.56332583955,14.3637269664178,14996.4187621356,14.5786380570121,5.28498168498168,56.1424034765168,2.80532706926304,coniferous-dominant,eastern alps - north,58.7536788233634,4704822.17865,2723336.682,55.3235268290998,0.818876647416978,1.46730274866982,-1.52442973953884,4.63008040850734,-1.39455580852714,0.842924620081973,-0.525902019509129,3.3207697040761,51.3035863480737
7,AL-6,AL-6,1252.3667856393,73.2670892027206,5727.3267992899,0.17475512215057,0.193827751102284,1535.51524685195,13.2085710049638,15554.8848249046,13.4469093106337,6.67522633744856,46.7562460634054,3.14866655008335,coniferous-dominant,eastern alps - north,57.6748416164718,4684013.2214,2711322.6249,46.9425771613907,-0.186331097985317,0.911271269246101,-1.29599098677392,0.605427040951145,-3.77895128815411,0.855540534234586,-0.359627917839003,2.04925226148424,43.7792450169033
8,X-9,X-9,1501,77.6276208672477,4955.40286091141,0.0490043099204616,0.149315018592422,1171.52620809433,11.015458678517,12050.8946334597,11.2532073650602,7.77777777777778,34.3915343915344,6.40422013038048,coniferous-dominant,eastern alps - central,46.4758797325743,4392687.8199,2639238.2825,37.0741310325527,-2.68259664101834,0.0249636958120361,1.0242200860649,-3.63604117742411,-5.5759691828059,-0.00413452363108668,-0.771647698585924,-1.19959822183277,35.3032690033513
9,AK-11,AK-11,795.466666666667,66.694573750573,7967.18469683927,0.195204597517617,0.64940087174228,1555.42296270983,17.3763102276946,15741.2013574994,17.5492214315725,4.98598130841121,59.3650793650794,4.18352699469955,coniferous-dominant,eastern alps - south,60.3350217812745,4662651.20697799,2583811.0867524,66.8101103278839,-7.44503096280455,4.24105853191706,-0.726160229676941,4.65635366935052,4.43787034933992,0.849705868610449,-1.75909044282872,0.0170040242927207,63.6192854961228
10,T-11,T-11,1387,71.7101348642694,5127.77109618185,0.123218149693684,0.335128882292951,1272.31648182461,10.8583193621947,12752.9771442199,11.0198090820845,6.33898305084746,51.685393258427,7.70305044654894,coniferous-dominant,eastern alps - central,43.1444343929807,4309451.99087222,2591182.0542,42.0426068017137,9.64278645671328,0.763470433006219,1.0242200860649,2.24947897360147,-5.67441757603938,0.278007076909256,0.405059844916814,-2.55039475622489,42.6822958107664
11,AF-5,AF-5,942.607032057911,71.2240298193458,6413.10559348481,0.133971855940243,0.181745018181347,1875.52637097239,15.009326704982,18890.2809180622,15.217824742375,6.05220228384992,49.5346432264736,4.62006193874608,coniferous-dominant,eastern alps - north,54.4909005630061,4559159.4779,2735350.73905556,49.0691233820808,0.465519844392809,0.667987098437323,-1.32945404587622,2.70166883703881,0.321465206911787,0.225024926478359,-2.12170604427305,-0.294122086562437,45.8551616681957
12,Y-5,Y-5,980.974007220217,75.9232039672709,6554.61853264365,0.136749658128309,0.214027141688006,1677.20842043932,14.875124364666,17093.8567211826,15.1489358605474,7.09020902090209,48.8808664259928,3.19088330072639,coniferous-dominant,eastern alps - north,54.1968525832369,4413496.77715,2723336.682,46.1933430429522,2.68752338304054,1.29119789114097,-1.41301536141388,-2.22329600823447,0.133300412497041,0.685851085017285,-2.27155569268462,1.91513469847475,43.0970512076248
